created_at,account_id,account_lead_id,modified_at,log_type,log_id,log_date,log_subtype_id,log_subtype_name,milestone_id,milestone_name,log_note,log_user_id,log_user_email,log_user_name,group_id,group_name,imported,updated_at,log_type_id
2019-09-16 15:09:44.770663,10,1125802,09/11/2019 01:06:17,Status,155627,09/10/2019 18:01:42,2,Contact Attempt 1,,,,-100,velocify.system.user@securesend.org,"System, Velocify",,,,2019-09-16 15:09:44.770663,7
2019-09-16 15:09:44.770754,10,1125802,09/11/2019 01:06:17,CreationLog,160815,09/10/2019 18:01:40,-50,,,,,1,velocifysandbox@pro-pair.com,"Ewing, Ethan",20,Main,-1,2019-09-16 15:09:44.770754,
2019-09-16 15:09:44.770813,10,1125802,09/11/2019 01:06:17,Export,113507,09/10/2019 18:01:41,-50,Failure,,,"https://nijt588ad1.execute-api.us-west-1.amazonaws.com/Stage/leads:{
	""lead"": {
		""payload"": {
			""id"": ""1125802"",
		  ""actionCount"": ""0"",
		  ""campaign"": ""Wisdom"",
		  ""campaignGroup"": ""Perks"",
		  ""creditProfile"": ""GOOD680719"",
		  ""dateAdded"": ""9/10/2019 6:01 PM"",
		  ""dayPhone"": ""(555) 386-2552"",
		  ""email"": ""melissa36@roach-davis.com"",
		  ""eveningPhone"": ""(555) 873-3074"",
		  ""existingHomeValue"": ""1"",
		  ""firstName"": ""Matthew"",
		  ""intendedPropertyUse"": ""INVESTMENTPROPERTY"",
		  ""lastDuplicate"": """",
		  ""lastName"": ""Nichols"",
		  ""loanAmount"": ""993452.002"",
		  ""loanPurpose"": ""11"",
		  ""propertyAddress"": ""na"",
		  ""propertyState"": ""NC"",
		  ""propertyType"": ""MANUFACTURED"",
		  ""propertyZipCode"": ""53733"",
		  ""purchasePrice"": ""239278.002"",
		  ""LeadProviderName"": ""HTTPSWWW.MYPROPAIR-BANK.COMAPPLYPURCHASE"",
		  ""IsMilitary"": ""No"",
		  ""CIS"": ""0.1"",
		  ""FICO"": ""517""
		}
	}
}",-100,,"System, Velocify",,,,2019-09-16 15:09:44.770813,6
2019-09-16 15:09:44.770867,10,1125802,09/11/2019 01:06:17,Email,432963,09/10/2019 18:01:41,117,Newly Assigned Lead Notification,,,,1,velocifysandbox@pro-pair.com,"Ewing, Ethan",20,Main,,2019-09-16 15:09:44.770867,5
2019-09-16 15:09:44.770920,10,1125802,09/11/2019 01:06:17,Email,432964,09/10/2019 18:01:41,119,Introduction Email: Generic,,,,-100,,"System, Email",,,,2019-09-16 15:09:44.770920,5
2019-09-16 15:09:44.770971,10,1125802,09/11/2019 01:06:17,Distribution,255841,09/10/2019 18:01:42,38,New Lead Distribution,,,,11402,test4@pro-pair.com,"GottaHaveThose, Recommendations",,,,2019-09-16 15:09:44.770971,4
2019-09-16 15:09:44.771023,10,1125803,09/11/2019 01:06:18,Status,155628,09/10/2019 18:03:43,2,Contact Attempt 1,,,,-100,velocify.system.user@securesend.org,"System, Velocify",,,,2019-09-16 15:09:44.771023,7
2019-09-16 15:09:44.771074,10,1125803,09/11/2019 01:06:18,CreationLog,160816,09/10/2019 18:03:39,-50,,,,,1,velocifysandbox@pro-pair.com,"Ewing, Ethan",20,Main,-1,2019-09-16 15:09:44.771074,
2019-09-16 15:09:44.771125,10,1125803,09/11/2019 01:06:18,Export,113508,09/10/2019 18:03:41,-50,Failure,,,"https://nijt588ad1.execute-api.us-west-1.amazonaws.com/Stage/leads:{
	""lead"": {
		""payload"": {
			""id"": ""1125803"",
		  ""actionCount"": ""0"",
		  ""campaign"": ""Referral"",
		  ""campaignGroup"": ""Test Campaign"",
		  ""creditProfile"": ""513"",
		  ""dateAdded"": ""9/10/2019 6:03 PM"",
		  ""dayPhone"": ""(555) 097-8601"",
		  ""email"": ""ydixon@blair.info"",
		  ""eveningPhone"": ""(555) 457-6975"",
		  ""existingHomeValue"": ""1"",
		  ""firstName"": ""Brittany"",
		  ""intendedPropertyUse"": ""OCCUPY"",
		  ""lastDuplicate"": """",
		  ""lastName"": ""Lynch"",
		  ""loanAmount"": ""895630.00"",
		  ""loanPurpose"": ""NONE"",
		  ""propertyAddress"": ""na"",
		  ""propertyState"": ""AL"",
		  ""propertyType"": ""CONDOMINIUMTOWNHOME"",
		  ""propertyZipCode"": ""39180"",
		  ""purchasePrice"": ""979351.00"",
		  ""LeadProviderName"": ""FREERATEUPDATE"",
		  ""IsMilitary"": ""No"",
		  ""CIS"": ""0.9"",
		  ""FICO"": ""581""
		}
	}
}",-100,,"System, Velocify",,,,2019-09-16 15:09:44.771125,6
2019-09-16 15:09:44.771175,10,1125803,09/11/2019 01:06:18,Email,432965,09/10/2019 18:03:41,117,Newly Assigned Lead Notification,,,,1,velocifysandbox@pro-pair.com,"Ewing, Ethan",20,Main,,2019-09-16 15:09:44.771175,5
2019-09-16 15:09:44.771225,10,1125803,09/11/2019 01:06:18,Email,432966,09/10/2019 18:03:41,119,Introduction Email: Generic,,,,-100,,"System, Email",,,,2019-09-16 15:09:44.771225,5
